Using TensorFlow backend.
Building Model
Modeling Finished
2017-08-06 03:20:33.925231: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925258: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925264: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925269: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925274: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
('TIMESTEP', 9500, '/ EPSILON', 0.09968365000006105, '/ Loss ', 40.49807)
('TIMESTEP', 9600, '/ EPSILON', 0.09968032000006169, '/ Loss ', 46.37167)
('TIMESTEP', 9700, '/ EPSILON', 0.09967699000006233, '/ Loss ', 40.409492)
('TIMESTEP', 9800, '/ EPSILON', 0.09967366000006297, '/ Loss ', 43.166183)
('TIMESTEP', 9900, '/ EPSILON', 0.09967033000006362, '/ Loss ', 41.437122)
('TIMESTEP', 10000, '/ EPSILON', 0.09966700000006426, '/ Loss ', 37.993332)
Model Saved
('TIMESTEP', 10100, '/ EPSILON', 0.0996636700000649, '/ Loss ', 49.479546)
('TIMESTEP', 10200, '/ EPSILON', 0.09966034000006554, '/ Loss ', 36.259209)
('TIMESTEP', 10300, '/ EPSILON', 0.09965701000006619, '/ Loss ', 38.930664)
('TIMESTEP', 10400, '/ EPSILON', 0.09965368000006683, '/ Loss ', 48.504364)
('TIMESTEP', 10500, '/ EPSILON', 0.09965035000006747, '/ Loss ', 35.355598)
('TIMESTEP', 10600, '/ EPSILON', 0.09964702000006811, '/ Loss ', 36.676052)
('TIMESTEP', 10700, '/ EPSILON', 0.09964369000006876, '/ Loss ', 39.174015)
('TIMESTEP', 10800, '/ EPSILON', 0.0996403600000694, '/ Loss ', 49.991817)
('TIMESTEP', 10900, '/ EPSILON', 0.09963703000007004, '/ Loss ', 36.828053)
('TIMESTEP', 11000, '/ EPSILON', 0.09963370000007069, '/ Loss ', 42.480522)
Model Saved
('TIMESTEP', 11100, '/ EPSILON', 0.09963037000007133, '/ Loss ', 49.827003)
('TIMESTEP', 11200, '/ EPSILON', 0.09962704000007197, '/ Loss ', 40.120472)
('TIMESTEP', 11300, '/ EPSILON', 0.09962371000007261, '/ Loss ', 39.908226)
('TIMESTEP', 11400, '/ EPSILON', 0.09962038000007326, '/ Loss ', 42.178642)
('TIMESTEP', 11500, '/ EPSILON', 0.0996170500000739, '/ Loss ', 45.026852)
('TIMESTEP', 11600, '/ EPSILON', 0.09961372000007454, '/ Loss ', 40.500565)
('TIMESTEP', 11700, '/ EPSILON', 0.09961039000007518, '/ Loss ', 37.267666)
('TIMESTEP', 11800, '/ EPSILON', 0.09960706000007583, '/ Loss ', 39.894421)
('TIMESTEP', 11900, '/ EPSILON', 0.09960373000007647, '/ Loss ', 49.482346)
('TIMESTEP', 12000, '/ EPSILON', 0.09960040000007711, '/ Loss ', 43.757324)
Model Saved
('TIMESTEP', 12100, '/ EPSILON', 0.09959707000007775, '/ Loss ', 39.872936)
('TIMESTEP', 12200, '/ EPSILON', 0.0995937400000784, '/ Loss ', 36.997337)
